StateNum,StateAb,StateName,StartYear,EndYear
2,USA,United States of America,1946,2012
20,CAN,Canada,1946,2012
31,BHM,Bahamas,1973,2012
40,CUB,Cuba,1946,2012
41,HAI,Haiti,1946,2012
42,DOM,Dominican Republic,1946,2012
51,JAM,Jamaica,1962,2012
52,TRI,Trinidad and Tobago,1962,2012
53,BAR,Barbados,1966,2012
70,MEX,Mexico,1946,2012
80,BLZ,Belize,1981,2012
90,GUA,Guatemala,1946,2012
91,HON,Honduras,1946,2012
92,SAL,El Salvador,1946,2012
93,NIC,Nicaragua,1946,2012
94,COS,Costa Rica,1946,2012
95,PAN,Panama,1946,2012
100,COL,Colombia,1946,2012
101,VEN,Venezuela,1946,2012
110,GUY,Guyana,1966,2012
115,SUR,Surinam,1975,2012
130,ECU,Ecuador,1946,2012
135,PER,Peru,1946,2012
140,BRA,Brazil,1946,2012
145,BOL,Bolivia,1946,2012
150,PAR,Paraguay,1946,2012
155,CHL,Chile,1946,2012
160,ARG,Argentina,1946,2012
165,URU,Uruguay,1946,2012
200,UKG,United Kingdom,1946,2012
205,IRE,Ireland,1946,2012
210,NTH,Netherlands,1946,2012
211,BEL,Belgium,1946,2012
212,LUX,Luxembourg,1946,2012
220,FRN,France,1946,2012
225,SWZ,Switzerland,1946,2012
230,SPN,Spain,1946,2012
235,POR,Portugal,1946,2012
260,GFR,German Federal Republic,1949,2012
265,GDR,German Democratic Republic,1949,1990
290,POL,Poland,1946,2012
305,AUS,Austria,1946,2012
310,HUN,Hungary,1946,2012
315,CZE,Czechoslovakia,1946,1992
316,CZR,Czech Republic,1993,2012
317,SLO,Slovakia,1993,2012
325,ITA,Italy/Sardinia,1946,2012
338,MLT,Malta,1964,2012
339,ALB,Albania,1946,2012
340,SER,Serbia,2006,2012
341,MNG,Montenegro,2006,2012
343,MAC,Macedonia (FRY),1991,2012
344,CRO,Croatia,1991,2012
345,YUG,Yugoslavia (Serbia),1946,2006
346,BOS,Bosnia-Herzegovina,1992,2012
347,KOS,Kosovo,2008,2012
349,SLV,Slovenia,1992,2012
350,GRC,Greece,1946,2012
352,CYP,Cyprus,1960,2012
355,BUL,Bulgaria,1946,2012
359,MLD,Moldova,1991,2012
360,RUM,Rumania,1946,2012
365,RUS,Russia (Soviet Union),1946,2012
366,EST,Estonia,1991,2012
367,LAT,Latvia,1991,2012
368,LIT,Lithuania,1991,2012
369,UKR,Ukraine,1991,2012
370,BLR,Belarus (Byelorussia),1991,2012
371,ARM,Armenia,1991,2012
372,GRG,Georgia,1991,2012
373,AZE,Azerbaijan,1991,2012
375,FIN,Finland,1946,2012
380,SWD,Sweden,1946,2012
385,NOR,Norway,1946,2012
390,DEN,Denmark,1946,2012
395,ICE,Iceland,1946,2012
402,CAP,Cape Verde,1975,2012
404,GNB,Guinea-Bissau,1974,2012
411,EQG,Equatorial Guinea,1968,2012
420,GAM,Gambia,1965,2012
432,MLI,Mali,1960,2012
433,SEN,Senegal,1960,2012
434,BEN,Benin,1960,2012
435,MAA,Mauritania,1960,2012
436,NIR,Niger,1960,2012
437,CDI,Cote D’Ivoire,1960,2012
438,GUI,Guinea,1958,2012
439,BFO,Burkina Faso (Upper Volta),1960,2012
450,LBR,Liberia,1946,2012
451,SIE,Sierra Leone,1961,2012
452,GHA,Ghana,1957,2012
461,TOG,Togo,1960,2012
471,CAO,Cameroon,1960,2012
475,NIG,Nigeria,1960,2012
481,GAB,Gabon,1960,2012
482,CEN,Central African Republic,1960,2012
483,CHA,Chad,1960,2012
484,CON,Congo,1960,2012
490,DRC,"Congo, Democratic Republic of (Zaire)",1960,2012
500,UGA,Uganda,1962,2012
501,KEN,Kenya,1963,2012
510,TAZ,Tanzania/Tanganyika,1961,2012
511,ZAN,Zanzibar,1963,1964
516,BUI,Burundi,1962,2012
517,RWA,Rwanda,1962,2012
520,SOM,Somalia,1960,2012
522,DJI,Djibouti,1977,2012
530,ETH,Ethiopia,1946,2012
531,ERI,Eritrea,1993,2012
540,ANG,Angola,1975,2012
541,MZM,Mozambique,1975,2012
551,ZAM,Zambia,1964,2012
552,ZIM,Zimbabwe (Rhodesia),1965,2012
553,MAW,Malawi,1964,2012
560,SAF,South Africa,1946,2012
565,NAM,Namibia,1990,2012
570,LES,Lesotho,1966,2012
571,BOT,Botswana,1966,2012
572,SWA,Swaziland,1968,2012
580,MAG,Madagascar (Malagasy),1960,2012
581,COM,Comoros,1975,2012
590,MAS,Mauritius,1968,2012
600,MOR,Morocco,1956,2012
615,ALG,Algeria,1962,2012
616,TUN,Tunisia,1956,2012
620,LIB,Libya,1951,2012
625,SUD,Sudan,1956,2012
626,SSD,South Sudan,2011,2012
630,IRN,Iran (Persia),1946,2012
640,TUR,Turkey/Ottoman Empire,1946,2012
645,IRQ,Iraq,1946,2012
651,EGY,Egypt,1946,2012
652,SYR,Syria,1946,2012
660,LEB,Lebanon,1946,2012
663,JOR,Jordan,1946,2012
666,ISR,Israel,1948,2012
670,SAU,Saudi Arabia,1946,2012
678,YEM,Yemen (Arab Republic of Yemen),1946,2012
680,YPR,"Yemen, People's Republic of",1967,1990
690,KUW,Kuwait,1961,2012
692,BAH,Bahrain,1971,2012
694,QAT,Qatar,1971,2012
696,UAE,United Arab Emirates,1971,2012
698,OMA,Oman,1946,2012
700,AFG,Afghanistan,1946,2012
701,TKM,Turkmenistan,1991,2012
702,TAJ,Tajikistan,1991,2012
703,KYR,Kyrgyz Republic,1991,2012
704,UZB,Uzbekistan,1991,2012
705,KZK,Kazakhstan,1991,2012
710,CHN,China,1946,2012
711,TBT,Tibet,1946,1950
712,MON,Mongolia,1946,2012
713,TAW,Taiwan,1949,2012
731,PRK,North Korea,1948,2012
732,ROK,South Korea,1948,2012
740,JPN,Japan,1946,2012
750,IND,India,1947,2012
760,BHU,Bhutan,1949,2012
770,PAK,Pakistan,1947,2012
771,BNG,Bangladesh,1971,2012
775,MYA,Myanmar (Burma),1948,2012
780,SRI,Sri Lanka,1948,2012
781,MAD,Maldives,1965,2012
790,NEP,Nepal,1946,2012
800,THI,Thailand,1946,2012
811,CAM,Cambodia (Kampuchea),1953,2012
812,LAO,Laos,1954,2012
816,DRV,"Vietnam, Democratic Republic of",1954,2012
817,RVN,"Vietnam, Republic of",1954,1975
820,MAL,Malaysia,1957,2012
830,SIN,Singapore,1965,2012
835,BRU,Brunei,1984,2012
840,PHI,Philippines,1946,2012
850,INS,Indonesia,1946,2012
860,ETM,East Timor,2002,2012
900,AUL,Australia,1946,2012
910,PNG,Papua New Guinea,1975,2012
920,NEW,New Zealand,1946,2012
940,SOL,Solomon Islands,1978,2012
950,FJI,Fiji,1970,2012
