country,iso3,year,gdp_usd,population,mil_exp_pct_gdp,mil_exp_usd,gdp_string,population_string
United States,USA,2012,16253970000000.0,314339099,4.4617099699335,725205000000.0,16.3 T,314.3 M
Mexico,MEX,2012,1255110424665.92,116818208,0.455502058064299,5717035574.62318,1.3 T,116.8 M
United Kingdom,GBR,2012,2707089726614.64,63711000,2.41781748358099,65452487554.2416,2.7 T,63.7 M
Mexico,MEX,2013,1327436290439.27,118343573,0.487642870144841,6473144378.32759,1.3 T,118.3 M
United Kingdom,GBR,2013,2784853502534.29,64139000,2.29232047399432,63837724855.4312,2.8 T,64.1 M
United States,USA,2013,16880683000000.0,316726282,4.02370560438155,679229000000.0,16.9 T,316.7 M
United States,USA,2014,17608138000000.0,319257560,3.67891817387645,647789000000.0,17.6 T,319.3 M
Mexico,MEX,2014,1364507717764.6,119784261,0.495321042296404,6758693845.00224,1.4 T,119.8 M
United Kingdom,GBR,2014,3064708247921.43,64620000,2.18448549185402,66995468654.2895,3.1 T,64.6 M
United Kingdom,GBR,2015,2927911140916.73,65088000,2.04890800410498,59990205719.3245,2.9 T,65.1 M
Mexico,MEX,2015,1213294467779.98,121072306,0.4507428192422,5468837811.91633,1.2 T,121.1 M
United States,USA,2015,18295019000000.0,321815121,3.46449292564277,633829639000.0,18.3 T,321.8 M
United States,USA,2016,18804913000000.0,324353340,3.40260246241072,639856443000.0,18.8 T,324.4 M
Mexico,MEX,2016,1112233497452.7,122251351,0.480046272445401,5336875740.46474,1.1 T,122.3 M
United Kingdom,GBR,2016,2689106566899.61,65607000,1.98449096820719,53327366087.7128,2.7 T,65.6 M
United States,USA,2017,19612102000000.0,326608609,3.29772357145288,646752927000.0,19.6 T,326.6 M
United Kingdom,GBR,2017,2680148052335.3,65966000,1.95002885979327,52075008432.0543,2.7 T,66.0 M
Mexico,MEX,2017,1190721475906.0,123400057,0.424849159310516,5062076645.82129,1.2 T,123.4 M
United Kingdom,GBR,2018,2871340347581.79,66289000,1.94455569473457,55832916405.2492,2.9 T,66.3 M
Mexico,MEX,2018,1256300182775.8,124573711,0.464611537244599,5839521271.01987,1.3 T,124.6 M
United States,USA,2018,20656516000000.0,328529577,3.30400061907828,682491400000.0,20.7 T,328.5 M
United States,USA,2019,21539982000000.0,330226227,3.412158459059,734344100000.0,21.5 T,330.2 M
Mexico,MEX,2019,1304106203902.45,125762982,0.508905926294583,6650808254.06726,1.3 T,125.8 M
United Kingdom,GBR,2019,2851407164907.81,66631000,1.98525373099586,56567602040.8163,2.9 T,66.6 M
Mexico,MEX,2020,1121064767401.51,126799054,0.717897860988845,8044880863.7379,1.1 T,126.8 M
United States,USA,2020,21354105000000.0,331577720,3.65051373404041,778397200000.0,21.4 T,331.6 M
United Kingdom,GBR,2020,2696778386607.65,66744000,2.16221591341109,58332371794.8718,2.7 T,66.7 M
United States,USA,2021,23681171000000.0,332099760,3.41709395411995,806230200000.0,23.7 T,332.1 M
United Kingdom,GBR,2021,3143323050707.26,66984000,2.07322203588405,65136216155.4333,3.1 T,67.0 M
Mexico,MEX,2021,1316569466735.28,127648148,0.661419726405739,8680832593.46947,1.3 T,127.6 M
Mexico,MEX,2022,1466464899303.68,128613117,0.686105132578991,10065268402.7818,1.5 T,128.6 M
United States,USA,2022,26006893000000.0,334017321,3.34325893120951,860692200000.0,26.0 T,334.0 M
United Kingdom,GBR,2022,3114042471144.39,67604000,2.07392558799882,64081634276.6912,3.1 T,67.6 M
United States,USA,2023,27720709000000.0,336806231,3.36183648558074,916014700000.0,27.7 T,336.8 M
Mexico,MEX,2023,1793798859343.27,129739759,0.656934513100098,11825909998.0324,1.8 T,129.7 M
United Kingdom,GBR,2023,3369861888972.88,68492000,2.26487905161201,74942843459.5794,3.4 T,68.5 M
